empId,deptCode,plannedTerminationDate,separationType,separationReason,unresolvedFlags
E0107,D07,2026-09-28,자발적,자발퇴사,
E0363,D06,2026-09-30,자발적,개인사유,
E0401,D08,2026-10-05,비자발적,조직개편,
E0356,D07,2026-10-23,자발적,자발퇴사,
E0240,D06,2026-10-19,자발적,개인사유,
E0361,D03,2026-09-25,비자발적,조직개편,
E0118,D04,2026-09-30,자발적,자발퇴사,
E0077,D06,2026-09-30,자발적,자발퇴사,
E0128,D03,2026-09-30,자발적,개인사유,
E0028,D08,2026-09-27,자발적,자발퇴사,
E0112,D03,2026-09-28,비자발적,성과/적합도,
E0251,D11,2026-09-15,비자발적,조직개편,stale-planned-leaver
E0395,D06,2026-09-30,비자발적,계약만료,
E0352,D03,2026-09-30,비자발적,계약만료,
E0015,D05,2026-09-30,비자발적,계약만료,
E0011,D03,2026-10-30,자발적,자발퇴사,
E0366,D02,2026-09-30,비자발적,성과/적합도,
E9999,D06,2026-09-30,자발적,개인사유,unknown-emp
E0064,D10,2026-09-30,자발적,자발퇴사,
